Rank,Title,Artist,Year
68,Dirt On My Boots,Jon Pardi,2017
69,The Greatest,Sia Featuring Kendrick Lamar,2017
70,No Promises,Cheat Codes Featuring Demi Lovato,2017
71,Craving You,Thomas Rhett Featuring Maren Morris,2017
72,Fast,Luke Bryan,2017
73,Too Good At Goodbyes,Sam Smith,2017
74,Wanna Be That Song,Brett Eldredge,2017
75,Star Of The Show,Thomas Rhett,2017
1,Perfect,Ed Sheeran,2018
2,The Middle,"Zedd, Maren Morris & Grey",2018
3,Meant To Be,Bebe Rexha & Florida Georgia Line,2018
4,Havana,Camila Cabello Featuring Young Thug,2018
5,Girls Like You,Maroon 5 Featuring Cardi B,2018
6,New Rules,Dua Lipa,2018
7,God's Plan,Drake,2018
8,Never Be The Same,Camila Cabello,2018
9,Delicate,Taylor Swift ,2018
10,Finesse,Bruno Mars & Cardi B,2018
11,I Like It,"Cardi B, Bad Bunny & J Balvin",2018
12,Psycho,Post Malone Featuring Ty Dolla $ign,2018
13,Rockstar,Post Malone Featuring 21 Savage,2018
14,Thunder,Imagine Dragons,2018
15,Better Now,Post Malone,2018
16,No Tears Left To Cry,Ariana Grande,2018
17,Bad At Love,Halsey,2018
18,Feel It Still,Portugal. The Man,2018
19,Nice For What,Drake,2018
20,Love Lies,Khalid & Normani,2018
21,Whatever It Takes,Imagine Dragons,2018
22,Boo'd Up,Ella Mai,2018
23,Mine,Bazzi,2018
24,Lights Down Low,MAX Featuring gnash,2018
25,I Like Me Better,Lauv,2018
26,Back To You,Selena Gomez,2018
27,Pray For Me,The Weeknd & Kendrick Lamar,2018
28,In My Blood,Shawn Mendes,2018
29,Let You Down,NF,2018
30,Youngblood,5 Seconds Of Summer,2018
31,How Long,Charlie Puth,2018
32,Friends,Marshmello & Anne-Marie ,2018
33,Love.,Kendrick Lamar Featuring Zacari,2018
34,Wait,Maroon 5,2018
35,Tequila,Dan + Shay,2018
36,Him & I,G-Eazy & Halsey,2018
37,In My Feelings,Drake,2018
38,Too Good At Goodbyes,Sam Smith,2018
39,Sorry Not Sorry,Demi Lovato,2018
40,Wolves,Selena Gomez X Marshmello,2018
41,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018
42,Look Alive,BlocBoy JB Featuring Drake,2018
43,Lucid Dreams,Juice WRLD,2018
44,What Lovers Do,Maroon 5 Featuring SZA,2018
45,Broken,lovelytheband,2018
46,Most People Are Good,Luke Bryan,2018
47,Get Along,Kenny Chesney,2018
48,God Is A Woman,Ariana Grande,2018
49,One Number Away,Luke Combs,2018
50,One Kiss,Calvin Harris & Dua Lipa,2018
51,Shape Of You,Ed Sheeran,2018
52,Taste,Tyga Featuring Offset,2018
53,Natural,Imagine Dragons,2018
54,Heaven,Kane Brown,2018
55,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018
56,All The Stars,Kendrick Lamar & SZA,2018
57,Singles You Up,Jordan Davis,2018
58,Attention,Charlie Puth,2018
59,Hotel Key,Old Dominion,2018
60,You Make It Easy,Jason Aldean,2018
61,"Sunrise, Sunburn, Sunset",Luke Bryan,2018
62,Sky Walker,Miguel Featuring Travis Scott,2018
63,Yes Indeed,Lil Baby & Drake,2018
64,Yours,Russell Dickerson,2018
65,Be Careful,Cardi B,2018
66,Sit Next To Me,Foster The People,2018
67,MotorSport,"Migos, Nicki Minaj & Cardi B",2018
68,Everything's Gonna Be Alright ,David Lee Murphy & Kenny Chesney,2018
69,I Was Jack (You Were Diane),Jake Owen,2018
70,Simple,Florida Georgia Line,2018
71,I Lived It,Blake Shelton,2018
72,Like I Loved You,Brett Young,2018
73,Marry Me,Thomas Rhett,2018
74,Good Old Days,Macklemore Featuring Kesha,2018
75,"Woman, Amen",Dierks Bentley,2018
1,High Hopes,Panic! At The Disco,2019
2,Without Me,Halsey,2019
3,Sucker,Jonas Brothers,2019
4,Talk,Khalid,2019
5,Dancing With A Stranger,Sam Smith & Normani,2019
6,Happier,Marshmello & Bastille,2019
7,I Don't Care,Ed Sheeran & Justin Bieber,2019
8,Eastside,"benny blanco, Halsey & Khalid",2019
9,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019
10,Wow.,Post Malone,2019
11,Truth Hurts,Lizzo,2019
12,Girls Like You,Maroon 5 Featuring Cardi B,2019
13,Senorita,Shawn Mendes & Camila Cabello,2019
14,Bad Guy,Billie Eilish,2019
15,If I Can't Have You,Shawn Mendes,2019
16,7 Rings,Ariana Grande,2019
17,"Thank U, Next",Ariana Grande,2019
18,Sweet But Psycho,Ava Max,2019
19,Youngblood,5 Seconds Of Summer,2019
20,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019
21,Someone You Loved,Lewis Capaldi,2019
22,Shallow,Lady Gaga & Bradley Cooper,2019
23,Sicko Mode,Travis Scott,2019
24,Speechless,Dan + Shay,2019
25,Better,Khalid,2019
26,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019
27,Better Now,Post Malone,2019
28,"Hey Look Ma, I Made It",Panic! At The Disco,2019
29,No Guidance,Chris Brown Featuring Drake,2019
30,Breathin,Ariana Grande,2019
31,MIA,Bad Bunny Featuring Drake,2019
32,Going Bad,Meek Mill Featuring Drake,2019
33,Goodbyes,Post Malone Featuring Young Thug,2019
34,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019
35,Please Me,Cardi B & Bruno Mars,2019
36,Suge,DaBaby,2019
37,Be Alright,Dean Lewis,2019
38,Beautiful People,Ed Sheeran Featuring Khalid,2019
39,Trampoline,SHAED,2019
40,You Need To Calm Down,Taylor Swift,2019
41,Love Lies,Khalid & Normani,2019
42,Beautiful Crazy,Luke Combs,2019
43,ZEZE,Kodak Black Featuring Travis Scott & Offset,2019
44,Only Human,Jonas Brothers,2019
45, Drip Too Hard,Lil Baby & Gunna,2019
46,Whiskey Glasses,Morgan Wallen,2019
47,You Say,Lauren Daigle,2019
48,This Is It,Scotty McCreery ,2019
49,Beer Never Broke My Heart,Luke Combs,2019
50,Girl Like You,Jason Aldean,2019
51,Money,Cardi B,2019
52,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019
53,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2019
54,The Ones That Didn't Make It Back Home,Justin Moore,2019
55,Trip,Ella Mai,2019
56,ME!,Taylor Swift Featuring Brendon Urie,2019
57,Tequila,Dan + Shay,2019
58,God's Country,Blake Shelton,2019
59,Money In The Grave,Drake Featuring Rick Ross,2019
60,Look Back At It,A Boogie Wit da Hoodie,2019
61,Good As You,Kane Brown,2019
62,Circles,Post Malone,2019
63,Sixteen,Thomas Rhett,2019
64,Love Ain't,Eli Young Band,2019
65,A Lot,21 Savage,2019
66,How Do You Sleep?,Sam Smith,2019
67,Living,Dierks Bentley,2019
68,Walk Me Home,P!nk,2019
69,Beautiful,Bazzi Featuring Camila Cabello,2019
70,Eyes On You,Chase Rice,2019
71,Middle Child,J. Cole,2019
72,Best Shot,Jimmie Allen,2019
73,Knockin' Boots,Luke Bryan,2019
74,Some Of It,Eric Church,2019
75,My Type,Saweetie,2019
